PARK NAME, ZIP, PARK CLASS
GOLDEN GATE, 60627, COMMUNITY PARK
MAJOR TAYLOR BIKE TRAIL, , COMMUNITY PARK
CARVER (GEORGE WASHINGTON), 60627, REGIONAL PARK
RUTHERFORD SAYRE, 60635, COMMUNITY PARK
HOWARD (URE) BEACH, 60626, NEIGHBORHOOD PARK
BLACKWELDER (I.S., GERTRUDE), 60643, COMMUNITY PARK
NORTHERLY ISLAND, 60605, MAGNET PARK
WALNUT, 60632, NEIGHBORHOOD PARK
ASTER, 60640, MINI-PARK
SPIKINGS FARM, 60630, MINI-PARK
WILSON (JOHN), 60608, NEIGHBORHOOD PARK
SCHAEFER (EDWARD), 60614, MINI-PARK
LANGDON (MARY MARGARET), 60626, MINI-PARK
STROHACKER (HOWARD), 60632, NEIGHBORHOOD PARK
PARK NO. 512, 60614, UNIMPROVED PARK
DUNHAM (ROBERT), 60630, COMMUNITY PARK
MATANKY (EUGENE), 60626, MINI-PARK
ARRIGO (VICTOR), 60607, COMMUNITY PARK
BELL (GEORGE,JR.), 60634, NEIGHBORHOOD PARK
CHAMBERLAIN TRIANGLE, 60653, PASSIVE PARK
KILBOURN, 60641, COMMUNITY PARK
BUTTERNUT, 60615, MINI-PARK
PARK NO. 520, 60622, MINI-PARK
BERGER (ALBERT), 60660, NEIGHBORHOOD PARK
EUCLID, 60628, COMMUNITY PARK
ANDERSONVILLE, 60640, MINI-PARK
ECKHART (BERNARD), 60622, COMMUNITY PARK
SKINNER (MARK), 60606, COMMUNITY PARK
PARK NO. 566, 60617, UNIMPROVED
DALEY (RICHARD J.), 60608, UNIMPROVED PARK
SENIOR CITIZENS MEML., 60647, PASSIVE PARK
ZATTERBERG (HELEN), 60613, MINI-PARK
WILLIAMS (DANIEL HALE), 60616, COMMUNITY PARK
MAGNOLIA, 60624, MINI-PARK
FLOWER (LUCY), 60647, MINI-PARK
ROOSEVELT (THEODORE), 60605, NEIGHBORHOOD PARK
CHOPIN (FREDERIC), 60641, COMMUNITY PARK
MATHER (STEPHEN TYNG), 60659, REGIONAL PARK
PARK NO. 536, 60622, UNIMPROVED PARK
OAKLEY, 60636, MINI-PARK
ALGONQUIN, 60618, MINI-PARK
WESTERN, 60622, MINI-PARK
MORGAN (THOMAS LEEDS) FIELD, 60643, NEIGHBORHOOD PARK
BEILFUSS (A.W.), 60647, NEIGHBORHOOD PARK
WASHINGTON (HAROLD), 60615, NEIGHBORHOOD PARK
BARBERRY, 60612, UNIMPROVED PARK
MEMORIAL, 60621, NEIGHBORHOOD PARK
PARK NO. 551, 60661, NEIGHBORHOOD PARK
KOLMAR, 60641, NEIGHBORHOOD PARK
SUMMERDALE, 60656, MINI-PARK
JUNCTION GROVE, 60621, MINI-PARK
BROOKS (OSCAR), 60631, COMMUNITY PARK
AMUNDSEN (ROALD), 60639, COMMUNITY PARK
WOLFE (RICHARD), 60617, NEIGHBORHOOD PARK
BRONCHO BILLY, 60640, MINI-PARK
DEAN (JOHN), 60622, NEIGHBORHOOD PARK
CHICAGO WOMEN'S PARK AND GARDENS, 60616, NEIGHBORHOOD PARK
SHABBONA, 60634, REGIONAL PARK
COCHRAN (JOHN), 60640, MINI-PARK
MIAMI, 60623, MINI-PARK
HALE (NATHAN), 60638, REGIONAL PARK
WINNEMAC, 60625, NEIGHBORHOOD PARK
ADAMS (JOHN C.), 60619, PASSIVE PARK
RUSSELL (MARTIN) SQUARE, 60617, COMMUNITY PARK
FRANKLIN (BENJAMIN), 60623, COMMUNITY PARK
FELLGER (CHARLES), 60618, NEIGHBORHOOD PARK
PRAIRIE WOLF, 60637, MINI-PARK
AUBURN, 60620, PASSIVE PARK
CENTRAL, 60624, MINI-PARK
ALTGELD (JOHN), 60612, COMMUNITY PARK
EVERGREEN, 60657, MINI-PARK
MELLIN (CURTIS, SR.), 60640, MINI-PARK
MCKINLEY (WILLIAM), 60609, REGIONAL PARK
KELVYN (WILLIAM), 60639, COMMUNITY PARK
